[   {   'Command Sequence': [   ('rm $0', 91717),
                                ('rm $0', 14401),
                                ('rm $0', 3697),
                                ('rm $0', 1329),
                                ('rm $0', 408)],
        'Expected': ('rm $0', 408),
        'Results': [   ('rm $0', 15350),
                       ('rm $0.', 1092),
                       ('e $0', 268),
                       ('page $0', 250),
                       ('m $0', 222)]},
    {   'Command Sequence': [   ('e', 153005),
                                ('tbl $0 | $1 -o2,3,4,5,6,7', 2997),
                                ('e', 904),
                                ('tbl $0 | $1 -o1,2', 499),
                                ('e', 122)],
        'Expected': ('e', 122),
        'Results': [   ('e', 1300),
                       ('e $0', 1120),
                       ('e $0.1', 522),
                       ('e $0.ps', 50),
                       ('tbl $0 | $0 -me', 24)]},
    {   'Command Sequence': [   ('ls', 420242),
                                ('rm $0 $1 $2 $3 $4', 34064),
                                ('ls', 8534),
                                ('rm $0 $1 $2 $3', 1041),
                                ('ls', 308)],
        'Expected': ('ls', 308),
        'Results': [   ('ls', 14900),
                       ('lws', 200),
                       ('ls -a', 142),
                       ('ls $0', 142),
                       ('limits', 125)]},
    {   'Command Sequence': [   ('cp $0 $1', 35442),
                                ('ls', 5686),
                                ('rm $0', 456),
                                ('rm $0', 44),
                                ('rm $0', 5)],
        'Expected': ('rm $0', 5),
        'Results': [   ('rm $0', 250),
                       ('mv $0.c $0.c', 117),
                       ('ed $0.feat', 100),
                       ('chmod $0 $0.sav', 100)]},
    {   'Command Sequence': [   ('nroff $0 $1 | $2 -Pci', 27637),
                                ('cd $0', 879),
                                ('emacs $0', 54),
                                ('nroff $0 $1 | $2 -Pci $0', 16),
                                ('emacs $0', 4)],
        'Expected': ('emacs $0', 4),
        'Results': [('emacs $0', 200), ('cd $0../669', 84)]},
    {   'Command Sequence': [   ('emacs', 90005),
                                ('latex $0.tex', 788),
                                ('emacs $0.tex', 276),
                                ('latex $0.tex', 172),
                                ('ps $0', 12)],
        'Expected': ('ps $0', 12),
        'Results': [   ('ps $0', 600),
                       ('emacs $0.tex', 564),
                       ('emacs', 280),
                       ('lpr -Palw2 -d $0.dvi', 256),
                       ('latex $0.tex', 70)]},
    {   'Command Sequence': [   ('nroff -me $0', 27637),
                                ('nroff -me $0', 6614),
                                ('e $0', 150),
                                ('nroff -me $0', 70),
                                ('e $0', 13)],
        'Expected': ('e $0', 13),
        'Results': [   ('e $0', 400),
                       ('nroff $0.n | $0 | $1', 100),
                       ('e', 100),
                       ('eedplan', 36),
                       ('his', 4)]},
    {   'Command Sequence': [   ('rm $0.1.CKP', 91717),
                                ('rm $0.CKP', 14401),
                                ('ls', 3167),
                                ('cd', 326),
                                ('cd $0', 24)],
        'Expected': ('cd $0', 24),
        'Results': [   ('cd $0', 750),
                       ('rm $0', 240),
                       ('e $0', 167),
                       ('cd $0..', 166),
                       ('mkdir $0', 155)]},
    {   'Command Sequence': [   ('emacs $0.1', 90005),
                                ('eemacs $0.1.1', 24),
                                ('emacs $0.1.1', 16),
                                ('emacs $0.3', 12),
                                ('emacs $0.0', 4)],
        'Expected': ('emacs $0.0', 4),
        'Results': [('emacs $0', 178)]},
    {   'Command Sequence': [   ('ls', 420242),
                                ('rr', 2648),
                                ('ee $0', 628),
                                ('ee $0', 116),
                                ('ls', 20)],
        'Expected': ('ls', 20),
        'Results': [   ('ls', 1000),
                       ('spell -b $0', 30),
                       ('ee $0', 8),
                       ('rr', 6),
                       ('nroff $0 $0 $0 $1.1 | $2 -Pci $3', 2)]},
    {   'Command Sequence': [   ('tbl $0 | $1 | $2 -h', 5583),
                                ('ls', 853),
                                ('e $0', 152),
                                ('tbl $0 | $1 | $2 -h', 48),
                                ('e $0', 8)],
        'Expected': ('e $0', 8),
        'Results': [('e $0', 400), ('ls', 4), ('apq', 2)]},
    {   'Command Sequence': [   ('ls', 420242),
                                ('mv $0 $1.x', 9297),
                                ('ls', 2476),
                                ('cd $0..', 392),
                                ('ls', 153)],
        'Expected': ('ls', 153),
        'Results': [   ('ls', 7200),
                       ('ls $0', 142),
                       ('list', 134),
                       ('ls -la', 100),
                       ('readnews', 50)]},
    {   'Command Sequence': [   ('tt', 1286),
                                ('cd $0', 336),
                                ('ls', 192),
                                ('more $0', 40),
                                ('ls', 8)],
        'Expected': ('ls', 8),
        'Results': [('ls', 400), ('rm $0 $0 $0', 2), ('more $0', 2)]},
    {   'Command Sequence': [   ('ee $0', 12831),
                                ('ls', 4372),
                                ('r', 20),
                                ('rr', 12),
                                ('ee $0', 4)],
        'Expected': ('ee $0', 4),
        'Results': [('ee $0', 200)]},
    {   'Command Sequence': [   ('nroff $0 $1 | $2 -Pci $3', 27637),
                                ('lpq', 1122),
                                ('nroff $0 $1 | $2 -Pci $3', 132),
                                ('lpq', 24),
                                ('nroff $0 $1 | $0 -Pci $3', 4)],
        'Expected': ('nroff $0 $1 | $0 -Pci $3', 4),
        'Results': [   ('nroff $0 $1 | $2 -Pci $4', 184),
                       ('ee $0', 42),
                       ('emacs $1', 38)]},
    {   'Command Sequence': [   ('cd $0', 327314),
                                ('ls', 146369),
                                ('e $0', 9039),
                                ('tbl $0 | $0 -me -h', 203),
                                ('apq', 16)],
        'Expected': ('apq', 16),
        'Results': [   ('apq', 800),
                       ('lpl', 247),
                       ('people $0', 34),
                       ('e $0', 13),
                       ('ls', 12)]},
    {   'Command Sequence': [   ('ls', 420242),
                                ('cd $0.87', 90099),
                                ('ls', 45424),
                                ('e $0', 1826),
                                ('ls', 240)],
        'Expected': ('ls', 240),
        'Results': [   ('ls', 11050),
                       ('ls -las', 330),
                       ('s', 301),
                       ('mail', 231),
                       ('prolog $0../des', 180)]},
    {   'Command Sequence': [   ('cd', 327314),
                                ('cd $0', 61845),
                                ('ls', 19123),
                                ('e $0.codes', 1155),
                                ('ls', 90)],
        'Expected': ('ls', 90),
        'Results': [   ('ls', 4250),
                       ('ls $0', 142),
                       ('prolog $0../des', 120),
                       ('lpq', 100),
                       ('cl', 100)]},
    {   'Command Sequence': [   ('emacs $0', 90005),
                                ('emacs $0.t', 14921),
                                ('emacs $0', 4499),
                                ('EMACS $0.T', 12),
                                ('emacs $0.t', 4)],
        'Expected': ('emacs $0.t', 4),
        'Results': [('emacs $0.1', 180)]},
    {   'Command Sequence': [   ('e $0', 153005),
                                ('ptroff $0', 2088),
                                ('e', 523),
                                ('ptroff $0', 194),
                                ('e', 40)],
        'Expected': ('e', 40),
        'Results': [   ('e', 800),
                       ('e $0', 400),
                       ('e $0.2', 58),
                       ('ptroff -Palw1 -me $0', 25),
                       ('ls', 14)]},
    {   'Command Sequence': [   ('ee $0', 12831),
                                ('ee $0', 3568),
                                ('ls', 760),
                                ('ee $0', 124),
                                ('ee $0', 20)],
